NUMBER	ENGLISH	SPANISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
1	I	yo	1209	I
2	all	todos	98	ALL
3	animal	animal	619	ANIMAL
4	ashes	ceniza	646	ASH
5	back [of body]	espalda	2323	BACK (PART)
6	bad	malo	1292	BAD
7	bark [of tree]	corteza	1204	BARK
8	belly	barriga	1251	BELLY
9	big	grande	1202	BIG
10	bird	pajaro	937	BIRD
11	bite	morder	1403	BITE
12	black	negro	163	BLACK
13	blood	sangre	946	BLOOD
14	blow [wind]	soplar	175	BLOW (OF WIND)
15	bone	hueso	1394	BONE
16	breathe	respirar	1407	BREATHE
17	burn [tr. v.]	quemar	141	BURN (SOMETHING)
18	child	niño	1304	CHILD (YOUNG HUMAN)
19	cloud	nube	1489	CLOUD
20	cold [weather]	frio	2483	COLD (OF WEATHER)
21	come	venir	1446	COME
22	count [verb]	contar	1420	COUNT
23	cut [verb]	cortar	1432	CUT
24	day [daytime]	dia (de dia)	1225	DAY (NOT NIGHT)
25	die	morir	1494	DIE
26	dig	cavar escarbar	1418	DIG
27	dirty	sucio	1230	DIRTY
28	dog	perro	2009	DOG
29	drink [verb]	beber tomar	1401	DRINK
30	dry [adj./v.]	seco	1398	DRY
31	dull [knife]	desafilado embotado	379	BLUNT
32	dust	polvo	2	DUST
33	ear	oreja	1247	EAR
34	earth [soil]	tierra	1228	EARTH (SOIL)
35	eat	comer	1336	EAT
36	egg	huevo	744	EGG
37	eye	ojo	1248	EYE
38	fall [drop]	caer(-se)	1280	FALL
39	far	lejos	1406	FAR
40	fat (grease)	grasa	323	FAT (ORGANIC SUBSTANCE)
41	father	padre	1217	FATHER
42	fear [verb]	temer	1419	FEAR (BE AFRAID)
43	feather [large]	pluma	1201	FEATHER
44	few	pocos	1242	FEW
45	fight	pelear luchar	1423	FIGHT
46	fire	fuego	221	FIRE
47	fish [noun]	pez pescado	227	FISH
48	float	flotar rebalsar	1574	FLOAT
49	flow	fluir	2003	FLOW
50	flower	flor	239	FLOWER
51	fly [verb]	volar	1441	FLY (MOVE THROUGH AIR)
52	fog	neblina	249	FOG
53	foot	pie	1301	FOOT
54	fruit (berry)	fruta	1507	FRUIT
55	give	dar	1447	GIVE
56	good	bueno	1035	GOOD
57	grass	hierba	606	GRASS
58	green [color]	verde	1425	GREEN
59	guts	tripas intestinos	1334	GUTS
60	hair	cabello pelo	1040	HAIR
61	hand	mano	1277	HAND
62	he	el	1211	HE
63	head	cabeza	1256	HEAD
64	hear	oir	1408	HEAR
65	heart	corazon	1223	HEART
66	heavy	pesado	1210	HEAVY
67	here	aqui aca	136	HERE
68	hit	golpear pegar	1433	HIT
69	hold [in hand]	agarrar sostener	1448	HOLD
70	how [interr.]	como	1239	HOW
71	hunt	cazar	1435	HUNT
72	husband	esposo marido	1200	HUSBAND
73	kill	matar	1417	KILL
74	know [facts]	saber	1410	KNOW (SOMETHING)
75	lake	lago	624	LAKE
76	laugh	reir	1355	LAUGH
77	leaf	hoja	628	LEAF
78	leg	pierna	1297	LEG
79	lie [be lying down]	echar(-se)	215	LIE DOWN
80	live	vivir	1422	BE ALIVE
81	liver	higado	1224	LIVER
82	long	largo	1203	LONG
